norm_title,description,genres,audience_group
ankur arora murder case,A young medical intern sets out to fight for justice after the negligence of the surgeon he looked up to ends in tragedy.,"['drama', 'thriller']",teen
another forever,"Overtaken by the death of her beloved, a grieving woman decides to take a spontaneous trip to visit her friend and get her life back on track.",['drama'],child
antman and the wasp,"Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission.","['action', 'comedy', 'sci-fi']",teen
antar son of shadad,"Learning he is the grandson of a famous knight, a young man hilariously fights a rival gang to win over the most beautiful woman in the tribe.",['comedy'],adult
anthony bourdain parts unknown,This CNN original series has chef Anthony Bourdain traveling to extraordinary locations around the globe to sample a variety of local cuisines.,['documentary'],child
antidote,A tough-as-nails treasure hunter protects a humanitarian doctor as she tries to cure a supernatural disease caused by a mysterious witch.,"['action', 'horror']",adult
anwar,"Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy.",['drama'],teen
apache warrior,Recovered cockpit footage and telling interviews reveal the true stories of US fighter pilots in one of the largest combat strikes in history.,['documentary'],adult
apollo 18,"This sci-fi thriller suggests that Apollo 17, despite official statements to the contrary, wasn't NASA's last manned mission to the moon.","['horror', 'sci-fi', 'thriller']",teen
april and the extraordinary world,"After the world's top scientists disappear, orphaned April secretly forges ahead with a family experiment and gets tangled up in a vast conspiracy.","['action', 'comedy']",child
aram aram,"Newly orphaned Aram leaves Beirut to live with his grandfather in Los Angeles, and overwhelmed by culture shock, he falls prey to an Armenian gang.",['drama'],teen
are we done yet,"When authorities arrest his young son, a taxi driver must convince the courts and rabid media that he's not the criminal they seek.","['comedy', 'drama']",teen
arisan 2,"A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths.","['comedy', 'drama']",teen
arthur,Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.,"['comedy', 'romance']",teen
arthur christmas,"At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.",['comedy'],child
as above so below,A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.,"['horror', 'thriller']",adult
as good as it gets,"The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.","['comedy', 'romance']",teen
assimilate,A group of friends making a web series about their hometown realize it isn’t as boring as they thought when their neighbors start behaving strangely.,"['horror', 'sci-fi', 'thriller']",adult
at all costs,This revealing documentary explores how the high-stakes world of Amateur Athletic Union basketball has professionalized youth sports in America.,['documentary'],adult
at first light,"After mysterious lights imbue her with extraordinary powers, a teenager goes on the run from authorities with the friend who harbors a crush on her.","['drama', 'sci-fi']",teen
atm,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.","['comedy', 'romance']",teen
atomic puppet,"Captain Atomic – once a superhero, now a sock puppet – can only activate his powers with the help of Joey, his new partner and biggest fan.",['comedy'],child
attacking the devil harold evans and the last nazi war crime,Intrepid newspaper editor Harold Evans wages an ongoing battle to expose the truth about a dangerous drug and obtain compensation for its victims.,['documentary'],teen
attitude test,"Four high school seniors steal an important college entrance exam and go on vacation to ""study,"" but accidentally lose the exam while partying.",['comedy'],teen
auschwitz blueprints of genocide,Newly released KGB files expose evidence proving how architects and engineers conspired with the Nazis to build a camp designed for genocide.,['documentary'],child
aussie gold hunters,Three teams of gold hunters battle all manner of challenges while pursuing their dreams in the Australian Outback.,['documentary'],adult
automata,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.","['sci-fi', 'thriller']",adult
avengers infinity war,Superheroes amass to stop intergalactic sociopath Thanos from acquiring a full set of Infinity Stones and wiping out half of all life in the universe.,"['action', 'sci-fi']",teen
avicii true stories,"Follow the meteoric rise of Tim Bergling, aka Avicii, from Swedish teenager to the creative force behind ""Wake Me Up,"" ""You Make Me"" and other hits.",['documentary'],adult
azhar,"This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s.",['drama'],teen
ba pass,"Orphaned and at loose ends, young Mukesh falls into the seductive orbit of married Sarika, who leads him ever deeper into a world of sex and betrayal.",['drama'],teen
babam ve oğlum,"Following Turkey's bloody coup of 1980, a widowed reporter returns to his Aegean hometown, bringing his son and a last wish for his estranged father.",['drama'],teen
babel,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",['drama'],adult
bachelor girls,"Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai.",['documentary'],adult
backfire,"When two would-be robbers accidentally kill a made man, they find themselves on the run from the South Philly Italian mob.","['drama', 'thriller']",adult
backtrack,"Haunted by visions of the dead, psychologist Peter returns home to confront a long-ago trauma. But will the trip exorcise or embolden the ghosts?","['drama', 'thriller']",adult
bad boys,"In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin.","['action', 'comedy']",adult
bad boys ii,"In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy.","['action', 'comedy']",adult
bad education,"A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.",['comedy'],adult
bad match,A player who uses the internet to facilitate his womanizing ways is tormented when he spurns a persistent woman who won't take no for an answer.,['thriller'],adult
bad rap,Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.,['documentary'],adult
badalte rishton ki dastaan,"When a man is killed, his wife and his lover – both of whom are pregnant with his children – come under the thumb of his brutal, dictatorial father.",['drama'],teen
badha,A young woman who is suspected of practicing black magic and witchcraft is demonized and forced to live apart from her family.,['drama'],teen
badland,A detective with a license to kill roams the Old West to wrangle Confederate war criminals and meets a pioneer woman who throws his journey off track.,['drama'],teen
bala loca,A veteran journalist starting a news site about corruption in Chile stumbles on a big story when a fellow investigative reporter dies suspiciously.,['drama'],adult
balto,"Balto, who is half wolf and half dog, endures the taunts of disapproving humans as he guides a precious cargo of medicine through the Alaskan winter.",['drama'],child
balu mahi,"Determined to stop his ex-girlfriend from marrying, a young man crashes the wrong wedding and meets a bride looking to run away.",['romance'],adult
bana masal anlatma,"Minibus driver Riza is a steady presence in his close-knit neighborhood, until he brings home a dreamy beauty and throws everything into chaos.","['comedy', 'romance']",teen
band aid,"A young married couple tries to save their disintegrating relationship by turning their fights into songs, with the help of an oddball neighbor.","['comedy', 'drama']",adult
bang rajan 2,A small but fierce group of resistance fighters engages in a brutal battle to protect their village from an army of Burmese invaders.,['action'],adult
bangkok bachelors,Three young men leading carefree bachelors’ lives in the city face the trials of true love when they meet three beautiful women.,"['comedy', 'romance']",adult
bangkok hell,"When offered a deal to snitch on fellow prisoners, an inmate faces a tough dilemma: act in his own interest, or help those who may need him.",['drama'],adult
bangkok traffic story,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.","['comedy', 'romance']",teen
barça dreams,Explore the history and philosophies behind one of the world's most beloved – and successful – soccer franchises: FC Barcelona.,['documentary'],adult
barah aana,"After futile attempts to better their lives with honest work, three broke friends opt for a more dubious means of making money: kidnapping for ransom.",['drama'],teen
barbecue,"A blend of cultural nuance and mesmerizing techniques adds flavor to this globe-hopping celebration of cooking, tradition and community.",['documentary'],adult
barely lethal,A girl raised to be a government assassin just wants to be a normal teen – so she runs away and pretends to be a high school exchange student.,"['action', 'comedy']",teen
barrio universitario,Four friends from a humble technical school compete against the elite students of a prestigious university in a robot-building contest.,['comedy'],teen
barsaat,"A naïve young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair.",['action'],child
baseketball,"When two slackers' made-up sport, BASEketball, becomes a national craze, they hope to cash in on the basketball/baseball hybrid's popularity.",['comedy'],adult
basic instinct,A detective investigating a rock star's brutal murder becomes drawn to the prime suspect — a mysterious novelist whose recent book mirrors the crime.,['thriller'],adult
bates motel,"When his father dies, Norman Bates and his mother open a hotel. But Norman's precarious mental state drives them down a dark and violent path.","['drama', 'horror']",adult
bathtubs over broadway,"A comedy writer for David Letterman unearths a hidden world of hilariously bizarre musicals, which turns into a toe-tapping obsession.",['documentary'],teen
battle creek,"A polished FBI agent must team up with a cynical cop when he's dispatched to Battle Creek, Michigan, to set up an office at the local precinct.","['comedy', 'drama']",teen
battlefield recovery,A four-man team heads to Latvia and Poland to unearth rare World War II artifacts and shed new light on the bloody battles of the Eastern Front.,['documentary'],child
bawarchi,A dysfunctional middle-class family is transformed by the attentions of their talented new chef – until he vanishes along with their valuable jewels.,"['comedy', 'drama']",child
bazaar,"A young man challenges traditional customs by standing up to the father of the woman he loves, who has promised her to a wealthy expatriate.",['drama'],teen
be here now,"Trace the brave journey of actor Andy Whitfield, who received a devastating cancer diagnosis while starring in the series ""Spartacus: Blood and Sand.""",['documentary'],adult
be somebody,"To escape the stress of fame, teen pop star Jordan goes incognito in a small town, where he forms a special bond with high school art student Emily.","['comedy', 'drama', 'romance']",child
beak brain genius birds from down under,"Whoever came up with the term ""bird brain"" never met these feathered thinkers, who use their claws and beaks to solve puzzles, make tools and more.",['documentary'],child
bean the ultimate disaster movie,"Disaster-prone Mr. Bean is sent to Los Angeles to guard a famous painting, but as he's unfit for any physical task, everything goes hilariously wrong.",['comedy'],teen
beary tales,A well-known wildlife photographer living alone in the Bohemian Forest finds himself playing mama bear to a pair of abandoned cubs.,['documentary'],child
beast legends,A diverse crew of experts dive deep into the origin stories of mythological monsters before building replicas of the creatures using 3D CGI technology.,['documentary'],child
beating again,"After enduring both business and family upheavals, a ruthless investment director has a heart transplant and finds a new way to look at life and love.",['romance'],teen
beauty the beast,A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance.,"['drama', 'romance']",teen
beauty and the bitches,Beauty pageant contestants from all over Thailand fight for the crown as they contend with drama and intrigue behind the scenes.,"['comedy', 'romance']",adult
beavis and butthead do america,"After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.",['comedy'],teen
bebes kids,"When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids.",['comedy'],teen
because of soccer,"After losing a World Cup bet, two hapless buddies must use their wits to pay off their debt to a big Jakarta bookie in this action-packed comedy.","['comedy', 'drama']",teen
because were heading out,Trouble and high jinks ensue when a man and woman stumble on a bag full of money while out on the town.,['comedy'],teen
becoming jane,A passionate romance with roguish barrister Tom Lefroy serves as the inspiration for the works of budding novelist Jane Austen.,"['drama', 'romance']",teen
bedtime stories,Skeeter's life is turned upside down when the fantastical stories he makes up to entertain his niece and nephew inexplicably turn into reality.,['comedy'],child
before the flood,Leonardo DiCaprio crisscrosses the globe to investigate the consequences of man-made globe warming and the measures being taken to reverse it.,['documentary'],child
behind the cove the quiet japanese speak out,"After a documentary about the Japanese whaling industry garnered international attention, an amateur filmmaker decides to tell the rest of the story.",['documentary'],teen
behind the curtain todrick hall,Follow singer and YouTube sensation Todrick Hall as he launches an original musical based on growing up gay in Texas and finding showbiz success.,['documentary'],adult
behind the newsroom,"Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions.","['drama', 'romance']",adult
behzat ç,An Ankara homicide detective with a dark personal life and a disdain for rules and political correctness solves murders and fights police corruption.,['drama'],adult
beiimaan love,"After having her heart broken by a man who seduced her at a party, a young, ambitious woman concocts a scheme to get revenge.","['drama', 'romance']",adult
being ap,"With retirement staring him in the face, an all-time-great jump jockey pursues his 20th consecutive title in his unrelenting quest for glory.",['documentary'],teen
being mary jane the series,Ambitious single TV journalist Mary Jane attempts to balance her career with her overbearing family and an increasingly messy love life.,"['drama', 'romance']",teen
below her mouth,An engaged fashion editor begins a torrid affair with a female roofer that threatens to turn both of their lives upside down.,['drama'],adult
beneath the leaves,"An escaped psychopathic child killer faces off against one of his former victims, who has since become a hard-nosed detective.",['thriller'],adult
benji off the leash,"Benji is back in this charming story that's told from the pooch's point of view, tracking his early days as a pup to his current life in showbiz.",['drama'],child
berlin kaplani,"After a losing streak puts him in debt of 50,000 euros to his sponsors, an unlikely Turkish-German boxer in Berlin finds himself in need of a miracle.",['comedy'],teen
berlin i love you,"Set in the Grey City, this ""Cities of Love"" installment is a star-studded, 10-story collection of redemptive love, crushing loss and everyday romances.","['drama', 'romance']",adult
best neighbors,"A just-married couple moves into their new home, finding themselves at war with the kids next door, who seem determined to make their lives miserable.",['comedy'],teen
betting on zero,"This documentary dives into the complex world of Herbalife, the international nutritional products company accused of being a pyramid scheme.",['documentary'],child
bewafaa,"A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else.","['drama', 'romance']",child
bewildered bolbol,A man suffering from amnesia can't seem to choose between the women playing tricks on him.,"['comedy', 'romance']",teen
beyond all boundaries,"As the 2011 Cricket World Cup begins, three Indians demonstrate their passion and the sacrifices they've made for the country's most popular sport.",['documentary'],teen
beyond the clouds,A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.,['drama'],teen
bh se bhade,"A kind-hearted insurance agent has the mysterious power to temporarily shoulder the problems and pain of others, with comic results in his own life.",['comedy'],child
bhaage re mann,"An impulsive, free-spirited woman who's defied convention for much of her life suddenly finds herself flirting with a classic romance.","['drama', 'romance']",teen
bhagam bhag,"A theater group lands in trouble when its new actress takes her own life, two of its members are framed for murder and no one is who they appear to be.","['comedy', 'romance']",teen
bhool bhulaiyaa,"Siddharth dismisses warnings that his palace might be haunted, until ghostly occurrences force him to reconsider his beliefs.","['drama', 'thriller']",teen
bhoot,"After a couple moves into an apartment, the wife’s increasingly disturbing behavior unravels chilling secrets about their new home’s past.","['horror', 'thriller']",adult
bhouri,A 23-year-old girl who's married to a man more than twice her age is forced to contend with the predatory nature of a male-dominated society.,['drama'],teen
big bad beetleborgs,"When three teens free a spirit that offers to grant each a wish, they choose to become their favorite superheroes, launching a series of adventures.",['comedy'],child
big bear,The alcohol-fueled high jinks of a bachelor party go haywire when the buddies of an ill-fated groom abduct his fiancée's new lover.,['comedy'],adult
big daddy,"Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he's a grownup.",['comedy'],teen
big fat liar,Junior high students Jason and Kaylee take action when a greedy Hollywood producer turns Jason's essay into a hit film without giving him credit.,['comedy'],child
big kill,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.,['action'],adult
big time,"In this documentary, architect Bjarke Ingels offers his vision for 2 World Trade Center as he aims to restore Manhattan's skyline to its former glory.",['documentary'],adult
bigger fatter liar,"When his video game concept is stolen by a dishonest executive, a teenage chronic liar sets out to prove that he's telling the truth, for once.",['comedy'],child
biggie tupac,"British documentarian Nick Broomfield investigates the murders of rappers Tupac Shakur and Biggie Smalls, digging up some surprises in the process.",['documentary'],adult
billy elliot,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",['drama'],adult
billy graham an extraordinary journey,This documentary recounts the life story of evangelist preacher Billy Graham featuring interviews with family members and former presidents.,['documentary'],child
bilu rakkhosh,"Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check.",['drama'],adult
bioscope,"Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films.",['drama'],teen
birthmarked,"In an attempt to settle the ""nature vs. nurture"" debate, a scientist couple raises three children to live lives that defy their genetic dispositions.",['comedy'],adult
bitch,"Cracking under the demands of children and a philandering, thankless husband, an overworked suburban mother assumes the persona of a ferocious dog.","['comedy', 'drama']",adult
bitcoin heist,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost.""","['action', 'comedy']",teen
bitten,"Elena Michaels tries to stray from the pack of werewolves that turned her into a monster, but her efforts are thwarted by a string of grisly murders.","['drama', 'horror']",adult
bitter daisies,"While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own.",['drama'],adult
bittoo boss,"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos – with mixed results.","['comedy', 'drama']",teen
black privileged volume 1,"When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status.",['drama'],adult
black hawk down,"When U.S. forces attempt to capture two underlings of a Somali warlord, their helicopters are shot down and the Americans suffer heavy casualties.","['action', 'drama']",adult
black heart,"Blaming a crooked media mogul for the death of his journalist sister, a surgeon enlists the help of a beautiful psychologist to get revenge.",['drama'],teen
black man white skin,This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain.,['documentary'],child
black panther,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.","['action', 'sci-fi']",teen
black site delta,"After discovering that their secret military prison is under attack by terrorists, a ragtag group of inmates does their best to neutralize the enemy.",['action'],adult
black snake moan,"Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.",['drama'],adult
black snow,An old tragedy and lingering animosity erupt when a man returns to Patagonia to convince his estranged brother to sell the family's isolated property.,"['drama', 'thriller']",adult
blackfish,"This fascinating documentary examines the life of performing killer whale Tilikum, who has caused the deaths of several people while in captivity.",['documentary'],teen
blackway,"Menaced by a psychopath who's got the local cops scared, waitress Lillian turns to a mysterious old logger to help her turn the tables on her stalker.",['thriller'],teen
blaze,"An influential, if unsung country songwriter reflects on his career, and how the love of his life drove him to write his most personal music.",['drama'],adult
bleed for this,"After a devastating injury derails his career, scrappy world champion boxer Vinny Pazienza determines to make an against-all-odds comeback.",['drama'],adult
blockbuster,"Dumped over a video he made to amuse his ailing dad, a heartsick Jérémy hatches an elaborate scheme to win back his superhero-loving girlfriend, Lola.",['comedy'],adult
blood treasures,"Condemned by a centuries-old vow to protect her kingdom's treasures, an embittered spirit returns to seek justice against the man who wronged her.","['drama', 'sci-fi']",teen
blood father,An ex-convict and estranged father finds the chance to prove himself when his daughter seeks his help shaking off a dangerous group of drug dealers.,['action'],adult
blow,Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall.,['drama'],adult
blue is the warmest color,"Determined to fall in love, 15-year-old Adele is focused on boys. But it's a blue-haired girl she meets on the street who really piques her interest.",['drama'],adult
blue jasmine,The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.,"['comedy', 'drama']",teen
blue mountain state the rise of thadland,"New NFL star Thad buys his old teammates' beloved frat house, renames it Thadland and throws the raunchiest, most debauched party in school history.",['comedy'],adult
blue planet ii,"This sequel to the award-winning nature series ""Blue Planet"" dives beneath Earth's oceans to reveal the dazzling vistas and amazing creatures there.",['documentary'],child
blue ruin,"Bad news from the past unhinges vagabond Dwight Evans, sending him on a mission of bloody retribution that takes him to his childhood hometown.",['thriller'],adult
blue streak,A jewel thief returns to his hiding place after a stint in jail — only to find that his diamond is buried under a newly constructed police station.,"['action', 'comedy']",teen
blue valentine,"As Cindy and Dean muddle through their languishing marriage, they hearken back to the golden days when life was filled with possibility and romance.","['drama', 'romance']",adult
blurred lines inside the art world,Artists and industry insiders shed light on the commercial forces behind the veneer of genius and glamour that often shrouds contemporary art.,['documentary'],adult
bob lazar area 51 flying saucers,"Decades ago, Bob Lazar blew the whistle on Area 51. Now he’s back to explain the alien tech he worked with, and the government's war to shut him up.",['documentary'],adult
bobbi jene,This candid profile follows dancer Bobbi Jene Smith as she leaves the company of Israeli choreographer Ohad Naharin to forge her own artistic path.,['documentary'],adult
bobby,"Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose.",['drama'],teen
bobby robson more than a manager,"Explore the life and times of legendary soccer manager Bobby Robson, whose keen mind for the game was matched only by his devotion to his teams.",['documentary'],teen
bobby sands 66 days,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",['documentary'],teen
bokeh,"After learning they are the sole survivors of an eerie apocalypse, a young American couple on vacation in Iceland ponder their love and the future.","['drama', 'sci-fi']",teen
bolt,"This tale follows German shepherd Bolt, a canine actor who makes a cross-country trek when he's mistakenly shipped from Hollywood to New York City.",['comedy'],child
bombshell the hedy lamarr story,"An unearthed audio interview of Hollywood icon Hedy Lamarr reveals a woman with brains as well as beauty, who was the first to patent frequency hopping.",['documentary'],teen
bon bini holland,"On the island of Curaçao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme.",['comedy'],adult
bonnie and clyde,"Bonnie Parker and Clyde Barrow are young, in love and on the run during a bullet-riddled bank robbery spree across Depression-ravaged America.","['action', 'drama']",adult
boom,"Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds.","['action', 'drama']",adult
borderline,A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.,['comedy'],teen
born strong,Four 400-pound giants fight for the crown at the Arnold Strongman Classic and offer a glimpse into their lives leading up to the competition.,['documentary'],adult
born to be free,"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years.",['documentary'],teen
botched up bodies,"From lifting saggy skin to repairing shoddy breast enhancements, plastic surgeons tackle extreme fixer-uppers.",['documentary'],adult
bottom of the world,"En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality.","['drama', 'thriller']",adult
boy bye,"Single entrepreneur Veronica finally starts to believe in love after meeting sexy Lance, but she soon discovers he's hiding something from her.","['comedy', 'romance']",adult
brain games,"This interactive series uses games, illusions and experiments to illustrate how our brains manufacture our reality and often play tricks on us.",['documentary'],child
bramptons own,"After 12 years in the minors, a struggling baseball player retires, returns home and faces the last person he struck out with – his ex-girlfriend.","['drama', 'romance']",adult
bratz the movie,"When high school hierarchy divides four best friends into different cliques, the girls defy expectations and try to bring their groups together.",['comedy'],child
brave miss world,"Weeks before being named Miss World, Linor Abargil was raped. She tells the world her inspiring true story in this Emmy-nominated documentary.",['documentary'],teen
brave new jersey,Small-town residents mistake an Orson Welles radio broadcast for news about an alien invasion and are emboldened to act as they await an apocalypse.,['comedy'],adult
breaking free,One filmmaker’s quest to expose the human rights violations faced by India’s LGBTQ community was a project of passion seven years in the making.,['documentary'],adult
breath,"In mid-1970s Australia, two small-town teenage boys befriend an enigmatic middle-aged surfer, who urges them to see the thrill in facing their fears.",['drama'],adult
brick,Teenage loner Brendan Fry navigates his high school's intense social network to discover a killer's identity after his secret crush is murdered.,['thriller'],adult
bring it on worldwide showdown,"When cheerleading champs the Rebels are challenged by an edgy new squad, they take on teams from all over the world in a virtual cheer battle.",['comedy'],teen
brooklyns finest,"Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller.","['drama', 'thriller']",adult
brotherhood of blades ii the infernal battlefield,"While tracking down a seditious painter, an imperial guard is accused of a royal assassination attempt and framed in a complicated conspiracy.",['action'],adult
brown nation,An Indian American man living with his artistic wife and contentious father-in-law struggles to handle his household and a foundering IT company.,['comedy'],teen
bruno and boots go jump in the pool,"To keep pal Boots from being sent to a rival school with better athletics, prankster Bruno leads an epic campaign to build a pool at Macdonald Hall.",['comedy'],child
bruno and boots the wizzle war,"Fed up with weird dress codes and wacky punishments, the students of neighboring schools face off against two recently hired oddball authoritarians.",['comedy'],child
bruno and boots this cant be happening at macdonald hall,"The biggest troublemakers at Macdonald Hall are Bruno and Boots, who are caught and face an unthinkable punishment: separation into different dorms.",['comedy'],child
buddha,"In this historical drama series, young Prince Siddhartha undergoes an intense spiritual journey that eventually transforms him into the Buddha.",['drama'],child
buffalo boys,Two Indonesian brothers learn the ways of the American cowboy before returning home to avenge the murder of their father.,['action'],adult
bugs,A willing team of chefs and researchers goes on a gastronomic adventure around the globe to weigh the benefits of using bugs as a future food source.,['documentary'],child
bullitt county,"When four college friends reunite for a bachelor party, their hunt for cash said to be hidden in Kentucky's backwoods leads to bloodshed and betrayal.",['thriller'],adult
burlesque,"After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.","['drama', 'romance']",teen
burlesque heart of the glitter tribe,"This revealing documentary probes the onstage personas of Portland, Oregon, burlesque performers who practice wildly different art forms.",['documentary'],adult
burning,An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.,['drama'],adult
burnistoun,"This sketch series focuses on the eccentric characters in a small Scottish town, including bumbling cops, ""DJ Jesus"" and a disgruntled serial killer.",['comedy'],adult
bushwick,"When their diverse neighborhood is besieged by a mysterious militia, a grad student and an ex-Marine become an unlikely team in a battle for survival.",['action'],adult
butterfield 8,"Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.","['drama', 'romance']",teen
cézanne et moi,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",['drama'],adult
cabin fever,"As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next.","['horror', 'thriller']",adult
cahaya dari timur beta maluku,"After witnessing a child’s death during a violent clash, a former soccer player launches a youth team to help local kids avoid further bloodshed.",['drama'],teen
caida del cielo,"When Julia literally falls into Alejandro's backyard from her apartment above, it's just the jolt that's needed to nudge these two loners together.","['comedy', 'romance']",adult
cain and abel,Gifted doctor Cho-in leads a charmed life while his older brother Seon-woo seethes with jealousy in this series inspired by Biblical characters.,['romance'],adult
cake,"When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface.","['comedy', 'drama']",adult
calendar girls,Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.,['drama'],teen
call me francis,"On his path to becoming Pope Francis, Father Jorge Bergoglio pursues his religious vocation in a country ravaged by a brutal military dictatorship.",['drama'],teen
camelia la texana,"Inspired by the famous song ""Contrabando y Traición,"" Camelia, a beautiful girl from San Antonio, kills her lover and becomes a legendary drug runner.",['romance'],teen
camera store,"With the digital revolution just around the corner, the employees of Bibideaux camera store strive to stay relevant amid unstoppable change.","['comedy', 'drama']",adult
camp cool kids,"A young boy attends summer camp, where he overcomes his fears, stands up to bullies and learns important lessons about faith and life.","['comedy', 'drama']",child
camp x,"Established during World War II, North America's first secret agent training school – known as Camp X – paved the way for present-day espionage.",['documentary'],adult
camp xray,"Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge.",['drama'],adult
can we get married,"On the cusp of marriage or divorce, four couples consider the meaning of love, sharing a life, meddling families and the weight of their commitment.",['romance'],teen
cant hardly wait,"At a wild high school graduation party, aspiring writer Preston hopes to declare his love to popular girl Amanda, who just got dumped by the class jock.","['comedy', 'romance']",teen
candyman,"Grad student Helen Lyle unintentionally summons the Candyman, a hook-handed creature made flesh by other people's belief in him.",['horror'],adult
cannabis,"When a huge marijuana shipment falls prey to thieves, the aftermath touches players from all ranks of the drug trade between Morocco and Europe.",['drama'],adult
capital in the twentyfirst century,"Based on economist Thomas Piketty's best-selling book, this documentary examines wealth accumulation and its looming social repercussions.",['documentary'],teen
cappuccino,"Richi is a director of commercials whose computer memory drive is accidentally switched with that of Sneha, a woman he soon falls in love with.","['comedy', 'drama']",child
cardboard gangsters,"A low-level drug dealer decides to move up the ranks of the illegal narcotics trade in Darndale, Dublin, putting him and his gang on a violent path.",['drama'],adult
caregiver,"Sarah leaves her son in the Philippines to reunite with her husband in London, where she struggles personally and professionally as a care-home worker.",['drama'],teen
